SKU,Name,Price,ID,Description,Category,Pic URL,
357,3/00 naturali labai tamsiai ruda spalva 120626,10.87,120626 3.00,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//3_1.00_1.jpg,
365,7/00 naturali ?viesiai ruda spalva 120626,10.87,120626 7.00,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//7_2.00_2.jpg,
373,8.00 naturali ?viesiai ruda spalva 120626,10.87,120626 8.00,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//8_2.00_2.jpg,
403,9.00 ?viesus blondinas 120626,10.87,120626 9.00,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//9_3.00_3.jpg,
405,11.00 labai ?viesus blondinas su pilku atspalviu 120626,10.87,120626 11.00,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//11_4.0_4.jpg,
404,10.00 labai ?viesus blondinas 120626,10.87,120626 10.00,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//10_2.00_2.jpg,
406,11.21 naturalus ?viesus blondinas 120626,10.87,120626 11.21,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//11_2.21_2.jpg,
407,11.71 ?viesus blondinas su vario atspalviu 120626,10.87,120626 11.71,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//11_2.71_2.jpg,
408,11.80 ?velnus blondinas 120626,10.87,120626 11.80,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//11_2.80_2.jpg,
409,00.80 tonavimo da?ai ru?avo atspalvio 120626,10.87,120626 00.80,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//00_3.80_3.jpg,
410,00.81 pilkas atspalvis 120626,10.87,120626 00.81,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//00_2.81_2.jpg,
411,4.03 tamsus ?atenas 120626,10.87,120626 4.03,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//4_2.03_2.jpg,
412,5.03 ?atenas auksiniu atspalviu 120626,10.87,120626 5.03,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//5_7.03_7.jpg,
413,6.03 ruda spalva su auksiniu atspalviu 120626,10.87,120626 6.03,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//6_7.03_7.jpg,
414,7.03 naturali ruda spalva su aukso atspalviu 120626,10.87,120626 7.03,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//7_4.03_4.jpg,
415,8.03 ?viesiai ruda spalva aukso atspalvio 120626,10.87,120626 8.03,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//8_4.03_4.jpg,
416,9.03 labai ?viesus ?atenas aukso atspalvio 120626,10.87,120626 9.03,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//9_4.03_4.jpg,
417,55.33 labai tamsi ruda spalva 120626,10.87,120626 55.33,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//55_2.33_2.jpg,
418,66.33 labai tamsus ?atenas 120626,10.87,120626 66.33,,     Escalation Easy 3D Absolute be amoniako da?u atspalviai (43),http://www.prestizolinija.lt/static/uploads/cache/80x80//66_2.33_2.jpg,
